Feature,DT_Importance,XGB_Importance
Month,0.05811037752846699,0.024943393
DayofMonth,0.030201702045803174,0.004683512
DayOfWeek,0.01719672162089341,0.047579687
DepTime,0.08501223812344673,0.017823583
FlightNum,0.06267770819373901,0.016098883
ActualElapsedTime,0.16754424151891492,0.0964892
DepDelay,0.24102633807752108,0.5437126
Distance,0.1584532971742306,0.10803021
Cancelled,0.0,0.0
Diverted,0.0,0.0
UniqueCarrier,0.03832640192815438,0.045484804
Origin,0.07646668364219127,0.058557
Dest,0.06498429014663844,0.036597215
